Descriptor,Count
doe,1956
drunk,321
2018,228
veri,12555
allow,498
leav,1622
chabli,260
appar,235
heart,355
monument,28
atlas_peak,79
solid,4457
construct,139
cab,2462
hand,406
sliver,9
intermingl,40
around,819
whole,590
benefit,548
build,289
upon,223
substanti,551
knit_togeth,167
coupl_year,310
spark,42
celebr,231
vintag,4204
appel,691
case,754
varieti,1357
backbon,471
small_amount,108
draw,198
site,374
estat,1461
ranch,94
coolclim,489
windswept,6
minim,52
sun,80
marin,104
applepear,14
huge,955
convey,141
identifi,81
alicant_bouschet,49
wait,476
differ,621
estat_vineyard,332
wide_avail,74
cuvé,327
would,1166
duck,107
sauc,697
although,2721
shock,100
given,787
four,299
egg,55
exot,2314
plenti,3343
mouthcoat,115
bodi,1350
overdeliv,33
qualiti,2911
effect,212
dappl,37
swirl,240
carri,1501
2018–2028,35
anchor,117
barrelag,46
optim,33
iri,83
brood,330
2019–2029,14
kitchen,33
togeth,905
brace,628
closegrain,65
need_time,966
unwind,126
multipl,114
valu,1203
cinnamon_clove,196
forest,365
surpris,1010
pinot_noir,3610
velvetysmooth,13
despit,1746
invit,639
meritag,20
driven,220
73,11
19,60
hit,922
pencil,45
shade,718
dress,63
complement,346
spill,13
fun,299
chang,264
pace,30
averag,227
familyown,21
immedi,1020
attract,3037
entrylevel,214
touriga,27
franca,22
tinta_roriz,45
rougher,10
quick,901
readi_drink,1970
easygo,649
neither,121
decent,784
pair,2533
unfussi,11
quantiti,90
interwoven,30
bit,6790
shi,331
eventu,89
reveal,915
raw,1090
powder,205
someth,659
wellpric,154
easi,3555
crowd,110
emphas,295
hillsid,42
entir,542
barrel_ferment,272
grow,315
organ,189
undercurr,94
keep,2141
order,88
mountaingrown,21
vie,84
backdrop,186
mute,239
peel,217
danc,266
pleasant,2048
fleet,95
brandi,87
crème_de,161
monastrel,79
smack,123
broad,968
spade,31
let,537
bur,129
fulli,915
fist,26
term,672
flow,166
highway,24
select,929
within,377
charl,42
ferment,523
nativ,108
filter,25
mouthfeel,5500
mild,1622
take,1433
unravel,17
patient,25
wealth,269
highton,310
wound,35
consid,201
tasti,954
appet,315
wonder,1388
vivid,443
versatil,199
buy,250
save,160
soon,308
taper,9
littl,5446
way,2163
pinot,3148
renwood,14
tini,298
product,548
expens,445
zinfandel,1289
practic,80
liquid,139
dessert,594
side,2323
level,713
push,597
healthi,478
fragrant,1221
spanish_broom,39
granni_smith,96
anjou,41
fair,1630
flesh,411
onc_sip,74
toward,542
person,914
pasta,553
bird,31
delight,345
lipsmack,156
play,1045
never,448
becom,538
distract,118
instead,408
food_friend,122
deal,393
five,355
bordeaux_varieti,126
repres,311
feed,39
café,23
tri,1214
profit,26
twist,142
lie,145
yet,3825
dryfarm,26
maintain,335
wholeclust,48
press,312
neutral,472
flair,92
resist,84
shop,59
mode,32
pictur,148
speckl,19
petit_sirah,808
serious,1086
typic,873
wellmad,375
albariño,175
last,1213
pie_crust,83
reflect,504
lith,117
brut,335
cava,238
confid,110
challeng,262
sauci,210
ride,341
beam,47
staunch,83
middl,440
three,566
valley,1003
exampl,807
southern,293
oregon,341
sit,358
eastfac,6
slope,159
plant,329
lack,1852
likeabl,340
hefti,212
usual,460
pioneer,98
gari,40
eberl,12
tension,197
true,769
singlevineyard,699
short,1194
alicant,59
15,560
drink_2016,366
futur,403
promis,869
smell,1963
expect,844
poach,65
emerg,755
longtim,62
santa,94
rosa,42
road,196
today,132
terlato,10
deepli,423
aris,33
boutari,12
californian,51
pommard,74
tradit,733
garnet_color,82
resembl,123
larg,378
cask,52
impact,119
notic,446
drink_now–2017,73
low,608
octan,16
vital,335
serv,546
blend_70,70
evid,486
resolv,189
enough,2761
heighten,65
stay,285
thing,858
rug,393
requir,214
patienc,58
sauvignonl,9
precis,449
stew,680
compon,676
swath,205
take_center,73
riboli,13
near,695
bourbonbarrel,6
gain,375
super,242
damp,112
begin,789
goe,581
57,39
recent,199
paso,136
highland,81
top,1383
chocolatecov,134
mash,88
steer,41
godello,51
insid,111
coffe_grind,48
clumsi,181
improv,912
alli,128
plus,487
longterm,91
view,54
act,122
bordeaux,527
ampl,835
smother,59
tough,1254
2012,699
obvious,647
catch,53
wrap_around,182
salmon,257
would_make,277
particular,683
apéritif,462
vivaci,72
offdri_riesl,203
wrap,1412
squeakyclean,10
permeat,46
state,194
pert,20
tawni,149
ice,40
evok,57
fallen,17
uniqu,480
gentl,1205
château,337
saintjulien,22
rather,1978
unlik,153
abund,230
throughout,764
thai,122
dish,598
eras,27
afford,288
four_year,414
old,782
advanc,46
waft,168
sip,695
lose,363
age_potenti,426
display,865
zin,1692
rockpil,12
vine_plant,57
2001,152
fore,106
slowli,450
breed,52
class,411
grill,945
2018–2026,19
shot,223
tens,263
strand,6
impecc,245
2015–2022,6
grand_cru,160
manag,513
preserv,680
certain,1461
late,440
five_year,564
majest,19
breadth,53
transit,99
flush,131
youth,1319
spring,268
mani_year,478
primari,489
proprietari,37
1999,58
covet,18
stagecoach,29
liqueur,624
character,567
aliv,136
till,52
mani,1330
sautern,26
sevill,12
chris,29
winemak,1602
old_vine,379
use,703
100,877
heather,14
weav,154
toe,31
addict,25
lace,521
popular,251
los,74
alamo,30
soda,189
hedonist,109
2016,273
somewhat,1397
assort,47
exquisit,116
degre,86
gate,26
addit,786
breath,327
section,64
abil,118
comfort,283
princip,47
wreath,19
80,144
perfect,2092
steakhous,24
energet,53
2017–2025,9
deserv,84
impli,23
fragranc,280
overlay,240
natur,1498
wellintegr,230
drink_2015,334
maximum,86
pleasur,813
resplend,16
wellcraft,110
would_pair,824
grill_salmon,56
herbroast,6
chicken,342
cloak,81
chard,1435
wash,295
come_around,189
compet,133
affect,28
ager,417
fuel,56
privat,27
stash,60
presum,36
realm,24
subdu,371
studi,51
bristl,74
baconwrap,14
signatur,160
wide,292
distribut,40
thank,929
summer,556
whenev,6
recal,467
summer_day,53
rust,22
tomato,828
rise,260
hold_onto,52
forc,357
2018–2025,22
ventur,93
nonvintag,128
categori,194
past,423
pinch,222
realli,1860
get,2249
crack,107
villag,153
serralunga,30
dalba,50
extrem,865
lemonsc,14
happen,91
sta,8
rita_hill,7
richard,15
sanford,18
alma,10
label,733
sharper,50
dark_brood,146
equal,447
put,573
drop,249
pinot_meunier,48
ultrafin,15
rais,81
sonoma_coast,140
steal,49
transluc,54
gleam,6
hue,152
drink_now–2020,177
pinot_bianco,99
alto,53
adig,31
locat,178
alvarinho,52
monção,6
line,767
small,576
quinta,145
nova,27
burgundian,155
final,1302
followup,63
2011,571
esteem,39
part,995
difficult,345
total,642
reason,429
soav,114
smidg,7
puriti,577
variet,916
du,91
cèdre,10
anyth,326
simpl,4225
seri,190
indic,327
presenc,203
100_cabernet,385
mount_veeder,33
capabl,123
numb,44
sting,56
2022,47
beyond,582
15acr,7
singl_vineyard,161
specif,87
entri,274
perhap,531
influenc,278
claylik,6
tree,101
gigant,88
tsunami,12
sound,312
thorough,317
fine_ground,146
negoti,73
might,796
elabor,325
blush,150
intric,272
sauvignon,636
pinot_grigio,432
mouthwat,770
satisfi,1068
array,342
defin,870
carnero,271
ageworthi,423
now–2019,17
wellstructur,158
2027,27
bill,44
home,251
central_coast,142
oldest,131
prove,290
dynam,94
13,210
acr,106
dash,275
underpin,162
superb,295
consist,831
kite,8
done,359
symphoni,14
subt,67
fill,1110
darker,288
spectrum,149
reserv,848
without,1258
spotlight,17
poke,39
proportion,82
treatment,80
ad,1047
famous,238
westsid,30
outsid,76
persona,17
ether,167
tantal,88
wet,411
envelop,167
energ,49
counterpoint,109
date,287
1970s,13
prime,155
relat,769
unfurl,34
wisp,26
honeylik,8
add,2922
compress,15
hardedg,65
aerat,47
consum,376
showpiec,9
madiran,17
tannat,97
sever_year,550
lurk,105
coat,607
glide,179
second,497
sarsaparilla,13
preced,106
provenc,114
organ_grown,45
redwin,6
east,51
aixenprov,7
veng,15
tom,16
rinaldi,7
somehow,165
captur,315
quiet,108
blacken,59
help,884
calm,118
unexpect,60
third,199
terrac,33
abov,360
rang,670
featur,1428
cahor,66
homag,32
owner,105
marri,281
2014,449
built,336
nearterm,115
mediumterm_age,106
sunkiss,24
explod,261
kabinett,143
invigor,84
reson,134
beli,55
exist,28
separ,77
offset,404
distant,187
napa_valley,301
sonoma,196
awash,27
lilt,44
fullerbodi,34
ridicul,13
squeez,137
berrycherri,171
sheet,9
gulp,29
lead_way,205
chop,172
knit,102
sizabl,101
contain,242
138,15
atop,98
nervous,81
grenadin,11
laid,52
across,246
kick,599
kiss,172
ignor,18
engag,58
waft_glass,79
2017–2021,7
undertheradar,7
limit,442
may,1252
côte,57
des,48
blanc,158
garrafeira,8
reach,240
sear,137
faint,238
place,433
yogurt,39
conjur,47
dream,34
set,1023
accompani,497
2019–2026,7
crianza,76
veer_toward,219
pluck,9
whose,522
enliven,140
undeni,75
turn,1939
autumn,47
fur,25
feather,32
14,226
elk,14
cove,14
willamett_valley,78
everyday,1138
herbting,35
immacul,82
craftsmanship,17
direct,846
budget,48
glimps,68
clear,544
foliag,16
slender,139
limpid,37
convinc,77
onto,204
seam,42
link,31
joy,98
eight,70
gris,19
archeri,6
summit,20
dunde,36
hill,574
introduc,182
taut,826
hone,31
persist,1145
lay,103
larger,56
gather,99
room,130
gun,41
clariti,194
harmoni,876
mull,27
jumbl,95
wiri,99
midsect,7
la,415
mancha,8
rest,460
two_year,311
french_american,42
retain,504
amid,99
groov,29
smoother,70
spin,72
california,983
chime,33
baguett,25
ice_cream,53
flash,120
quaffabl,134
street,41
let_breath,50
latter,26
common,261
characterist,765
leap,58
due,451
2019–2025,11
blackskin,104
porcini,29
burnt_rubber,48
confitur,8
tonguedri,10
clench,16
sooner_rather,82
later,284
confectionari,59
midterm,71
meld_togeth,80
commune,10
blend_60,93
grenach,783
mourvèdr,364
anoth_year,340
prefer,117
beef_lamb,47
costco,10
reliabl,102
bargain,202
châteauneufdupap,45
firmer,113
year_two,266
minuscul,7
amount,349
result,1140
hyde,13
flourish,127
fare,489
cradl,10
easytolik,45
floor,48
statement,72
gravenstein,10
relax,56
manner,147
self,6
sensibl,52
exhibit,413
chew,86
2016–2021,16
unleash,37
promin,358
tinto,7
fino,24
sport,177
mediumlevel,6
doe_nt,1815
newwood,48
apolog,12
mixtur,65
pump,61
heavili,308
harsh,523
scorch,59
american,220
ken,38
reluct,20
shoe,9
center,318
drawn,76
temper,155
barreldriven,22
rumbl,8
basic,1226
robl,13
carignan,227
fierc,162
warmclim,72
drink_soon,353
sniff,61
ramospinto,11
box,97
shallow,13
stabl,46
bound,30
tad,168
climat,130
cough,52
interest,2026
dose,278
ani,834
protein,8
overt,322
sprinkl,304
punch,329
extravag,66
via,82
kaffir,7
dura,16
braucol,22
mediterranean,98
lip,25
wafer,37
right_front,96
suspend,15
themselv,104
come_across,387
canyon,96
area,333
blend_80,63
compos,254
standard,744
priorato,23
onc,458
milk,61
cabernetl,9
similar,516
typifi,30
mark,1893
remark,264
oldvin,141
entertain,38
momtazi,11
lighten,58
look,653
stream,65
proper,646
cleans,309
steadi,228
briari,470
type,182
ribera_del,54
duero,55
fan,397
textbook,369
noth,715
overwhelm,344
sum,69
journey,26
flagship,138
formid,23
2020–2022,7
knoll,74
teas,74
16,223
wall,113
treasur,37
trove,11
estategrown,220
santa_barbara,126
eastsid,10
creat,731
delv,23
laden,105
sourdough,76
crème_brûlée,327
interplay,62
subtleti,289
blow,257
away,513
first_sniff,79
sharpedg,55
reli,88
bombast,11
tell,214
stori,58
splendid,58
hugel,10
deeper,163
pine_nut,29
gracious,12
goto,50
lobster,125
mingl,430
drift,22
morello,47
barbaresco,299
enhanc,493
generos,149
land,86
serra,21
air,786
woven,166
feinherb,7
foundat,151
embrac,31
less,1147
dimens,250
situat,43
beaun,42
savignylèsbeaun,7
door,39
revel,51
lovabl,21
known,312
portrait,12
possibl,371
pebbl,10
faintest,26
signal,92
bakedappl,35
counter,83
cri,46
notion,92
residu,139
carbon,51
dioxid,7
height,40
salad,312
extra,1035
2013,453
counterpart,22
soléna,11
instant,146
fullflavor,87
extend,320
percentag,98
upfront,549
cold,269
prais,33
vineyard_design,100
irresist,126
wellproport,19
contrast,346
coast,85
doug,9
margerum,9
succeed,118
now–2030,21
finest,154
eight_year,188
phase,62
lost,142
santa_ynez,64
valleybas,6
shiitak,15
sichuan,6
life_ahead,55
clover,82
fruitpack,7
mouthfil,446
12_month,89
squar,68
cloudi,48
suprem,113
flamboy,374
jess,17
katz,6
bryan,8
babcock,13
handl,206
histor,170
incred,290
advantag,39
citrussc,9
bing,97
steak_chop,77
rack,43
occas,100
bolster,146
odd,257
overlook,51
pacif,77
island,100
success,650
macadamia,22
daffodil,10
hugh,17
appear,1017
pliabl,17
inher,129
collabor,50
forrest,7
south,190
africa,15
distinct,1112
across_palat,362
effus,73
hendri,24
napa,696
lusti,335
terrif_valu,55
angl,34
various,212
fanci,227
real,884
curious,136
yellowcherri,15
sunni,184
rippl,22
tongu,363
canteloup,19
surfac,253
whistl,90
easi_find,231
grandeur,12
amaz,311
132,22
volum,208
memori,69
sauv,29
increas,118
bone,100
vigor,134
beefsteak,7
pristin,351
laci,36
smart,42
candl,49
reverber,50
chock,35
vibe,23
ausles,125
musk,44
lowyield,49
generat,99
alway,917
main,552
distanc,31
brush,85
tighten,57
sexi,126
shred,12
nebbiolo,218
whisper,58
barolo,771
simmer,20
upper,53
douro,224
superior,303
abl,82
left,174
bank,60
serein,6
intensifi,47
spätlese,108
frond,18
shower,76
signific,166
risk,12
overtak,23
impart,373
jolt,71
blanket,66
bottom,39
join,201
2017–2022,13
purist,49
excess,358
next_year,640
potent,381
right_amount,129
found,415
pick,692
fuller,117
mineralrich,6
revisit,13
theme,87
oodl,49
arroyo,33
hous,341
plung,7
barbara,6
counti,162
grapegrow,12
loui,54
luca,21
introduct,87
night,112
sipper,271
bridg,25
sauvignon_blanc,1693
fullblown,25
nick,30
goldschmidt,35
daughter,23
augment,59
behind,508
dozen,52
imprint,34
foodfriend,420
bounc,64
step,286
powerpack,29
field,175
breadi,42
semirich,14
stand,731
arugula,21
greenherb,38
sangiacomo,11
went,115
vast,115
speak,246
renown,21
evolv,744
steadili,28
essenc,348
dive,29
expert,73
reason_price,88
cast,52
apt,23
unabash,45
composur,11
olsen,15
dutton,23
chenoweth,6
older,217
underst,170
porcini_mushroom,48
2018–2024,19
beef,569
59,14
viognier,640
rigid,39
wire,15
boost,197
barbera,544
vineyarddesign,200
smallest,17
trace,243
sitespecif,7
sing,157
eager,16
food,1822
half,444
mound,20
dot,50
torronté,88
fruitflavor,39
medley,56
easili,843
touriga_nacion,148
trincadeira,30
asid,75
admit,24
rim,75
silkytextur,29
quaff,85
pave,10
word,248
drili,126
modern,1041
trip,15
anise,22
2016–2020,11
blend_50,98
35,93
wintergreen,134
intrigu,501
2016–2017,10
rice,42
1990,10
vintner,179
morgan,58
judici,75
malvasia_nera,57
judg,160
regard,35
import,4356
jalapeño,87
greenlean,36
absorb,50
abrupt,70
hip,26
past_prime,61
sémillon,159
young_vine,114
hautbrion,40
necessari,47
verg,124
redeem,22
trail,135
60,178
straight,221
fairway,13
involv,18
portfolio,98
backyard,28
volumin,44
fall,575
gewürztramin,216
companion,242
burnish,11
dead,59
arm,26
shiraz,827
2010,840
reassur,7
2018–2030,20
22,88
appeal_fan,58
decis,38
marriag,43
grill_beef,78
held,167
orangepeel,25
gaug,6
secur,36
accentu,187
spray,102
highest,87
busi,20
philipp,23
girard,7
brother,107
tend,97
corton,11
mask,162
wrought,13
otherwis,544
tip,56
85,119
colorino,53
horsehid,19
share,140
space,24
bolder,39
refer,143
partial,124
condens,85
foley,21
greater,338
2020–2035,11
bedrock,7
proprietor,31
son,185
concoct,14
pit,36
talley,45
fade,715
culmin,29
could,2236
kiona,41
83,15
gl,70
spot,248
creosot,15
arc,6
stillwat,37
creek,357
occupi,16
portion,94
stack,68
vertic,75
now–2022,10
17,113
chilean,306
exact,203
23,75
75,151
roast_chicken,143
petaluma,34
gap,64
chase,6
bought,20
drill,18
stan,8
stun,243
long_haul,101
bob,35
masteri,10
redol,371
damson,163
packag,492
400,22
highaltitud,23
roubin,7
unusu,586
tibouren,6
clairett,14
stylish,538
highend,123
whopper,6
37,49
32,61
24,63
domain,197
certifi,44
flawless,12
amontillado,18
purchas,59
zero,31
frontload,61
showi,48
inaugur,70
plain,75
crumbl,6
modernstyl,59
regist,108
max,66
project,125
outlook,42
southwestern,14
belov,10
imbu,26
fir,11
needl,13
fascin,196
chai,14
brim,381
tactil,15
leyda,37
crystal,50
progress,43
midway,23
anim,202
adequ,226
halfbottl,6
cabbas,26
bare,303
66,9
26,27
soar,37
sheer,578
stunt,11
monolith,39
eolaam,13
ava,152
overshadow,62
darkcolor,30
secondlabel,8
norm,19
yost,6
spread,149
melt,510
equal_part,119
muscl,218
orient,53
float,181
eye,93
replac,53
thicket,6
elus,56
method,25
paint,44
dramat,441
regular,583
anderson_valley,90
garnet,43
dissolv,17
wo,368
six_month,92
estatefarm,6
rule,59
suck,30
bad,402
mid2020,7
perceiv,12
peppermint,78
warmvintag,22
press_flower,80
translat,122
bed,88
cling,30
virtu,85
outsiz,20
stark,57
relief,31
prickl,81
slice,175
tin,16
outgo,6
clip,77
brought,66
southern_rhône,39
inform,388
vi,7
sort,565
chosen,21
cellarworthi,62
aspect,178
doubt,141
worth,364
bode,24
chariti,14
critic,70
grenachelik,33
ca_nt,310
deni,114
charbroil,34
lamb_chop,113
underlin,71
glaze,31
lagar,22
conclus,16
appleskin,38
carmenèr,340
marvel,77
spanish,93
bodega,25
portugues,52
gradual,141
afterward,33
sumptuous,149
acidinspir,7
overpow,250
deck,16
boat,23
simpli,341
delin,47
pie_fill,440
buf,16
42,30
65,63
tend_toward,63
exud,122
2015–2020,19
cafay,16
bath,37
upright,57
spain,117
bierzo,28
problem,214
thus,185
scrape,17
meat_chees,89
humus,43
pois,433
conclud,30
underton,195
velvettextur,28
breez,40
vacheron,16
modicum,42
replet,11
kept,152
entredeuxm,23
unidentifi,9
chicori,7
describ,272
chenin_blanc,101
spri,52
swift,19
seldom,12
seen,122
listrac,18
mediumterm,34
predomin,96
anna,7
mari,13
minnick,13
stonetre,16
inexpens,239
napa_cab,177
stamp,15
commend,67
prosciutto,59
version,427
imagin,151
rib,151
reign,22
nail,110
exit,8
honeykiss,15
michael,41
peopl,155
dig,45
passion,649
decept,83
gamay,24
wake,53
nonetheless,283
frank,199
honest,237
without_ani,77
baroqu,6
bag,15
forthright,6
even_though,166
definit,1152
compat,9
nooak,15
dare,6
seafood,225
drip,44
amplifi,66
hover,42
everyth,633
verv,144
ton,298
parti,182
absolut,294
sometim,212
premier,102
gala,17
coolerclim,19
stinki,18
alexand_valley,169
minor,80
freshsqueez,21
shellfish,257
dazzl,209
crowd_pleaser,50
71,18
experi,243
92,12
fulfil,36
star,443
chassagnemontrachet,15
kumeu,22
baconi,33
premium,41
eugéni,7
basi,22
alpin,43
shave,75
parker,33
reduc,214
biggest,104
riot,35
vinifi,53
excit,303
chockful,10
overton,366
pervas,11
unobtrus,15
sure,501
spi,33
fumé,31
struck,27
new_zealand,190
74,7
say,488
josh,15
burgundi,255
job,277
lick,177
board,29
father,30
ran,6
kevin,24
law,13
gran_reserva,55
bumpi,21
vari,63
waver,7
lewi,50
outrag,16
hang,166
streamlin,359
illumin,7
grüner_veltlin,89
savor,118
pisoni,24
boister,43
loos,60
apart,171
tender,47
bulb,12
dissip,29
seed,128
glimmer,34
crus,97
puligni,21
halfway,7
meursault,100
compromis,95
45yearold,9
two_three,127
pouch,10
jump_glass,48
palecolor,8
splash,295
fireplac,7
delicaci,247
insubstanti,28
admir,226
malolact,56
belong,28
chill,238
temperatur,45
roussann,112
21,73
grenach_blanc,60
picpoul,6
wipe,11
sideshow,9
compar,272
current,355
gardenia,46
howel_mountain,94
tinyproduct,8
achiev,324
rancho,16
fashion,183
truli,200
partner,330
harmon,17
prepar,75
exterior,36
2016–2026,12
feisti,12
tame,213
lean_toward,180
cool_vintag,181
memor,54
ownership,75
19th,21
centuri,60
cabernetbas,66
6–8_year,145
bordeaux_blend,562
paso_robl,207
solo,20
per,58
angel,38
fullforc,53
status,75
attentiongrab,9
debut,77
roeder,23
mendocino_counti,20
bosc,30
dough,82
beckstoff,24
eastern,132
inde,139
seren,11
talk,78
smaller_amount,38
process,63
rasberri,6
flatter,144
vy,42
prevail,47
straw_color,35
gumdrop,21
flaw,90
caus,61
harvest,161
mar,123
freez,29
limepith,8
generic,557
without_much,142
greasi,26
convent,18
town,35
borba,7
consumpt,141
shape,399
pushi,46
ultim,303
overweight,21
perki,105
tomatolik,20
spunki,104
girond,15
estuari,15
1980s,13
essenti,161
chateau,106
number,118
chateaus,14
dollop,85
pucker,67
gaseous,99
general,278
cantmiss,17
berrylik,13
foil,38
port,421
lbv,31
gush,6
nine,66
respect,150
lemonad,56
fight,44
scallion,39
caper,37
scour,414
bash,14
terroir,383
breathtak,10
coastal,408
previous,139
mouli,6
barton,14
léovill,16
purpos,48
nearbi,16
mineralinfus,32
pass,167
lugana,7
cherryladen,9
chaparr,26
morn,13
dew,6
awhil,9
announc,135
annot,61
cilantro,21
fish,251
pasti,49
twing,30
thinner,45
poni,13
pouilli,32
citrusflavor,24
warmer,186
russian_river,289
stubborn,75
said,208
chehalem,37
sharpton,9
pinot_gris,401
gallo,45
outpost,11
baselevel,8
mencía,28
jumpi,202
petit,54
morel,10
tricki,21
liven,79
limead,8
stock,48
midweek,26
bowl,74
spoton,27
man,52
million,33
calistoga,53
slightest,87
weightless,29
sylvan,20
ring,86
silvan,15
greenplum,9
peek,81
grate,157
uncompromis,11
stiff,171
hour,191
cheeri,13
remaind,14
struggl,151
uncommon,31
25yearold,10
brickish,6
fleck,29
buzz,19
steve,45
clifton,27
inspir,66
music,12
familiar,191
rutherford,165
bench,42
fowl,17
kind,771
newoak,13
36,44
contact,52
borderlin,76
guarante,87
2016–2022,20
david,89
singl,102
organ_farm,45
neighbor,46
murray,9
southeastern,15
saddl,32
barrelinfluenc,10
surg,15
pallis,9
dog,62
echo,114
mexican,58
2020–2028,6
reinforc,75
667,9
2004,367
exclus,49
palatepleas,30
balm,13
far,606
reservelevel,49
compris,222
worthi,108
ross,26
wilson,6
intend,46
west,89
old_world,84
suspens,8
techniqu,47
french,221
meadow,11
fit,253
redhot,7
teaflavor,11
morph,29
tail,99
ribolla_gialla,59
tocai,10
52,28
48,36
tangl,14
abandon,6
swallow,56
satsuma,14
legend,16
rosehip,13
wondrous,6
pull,239
ambit,12
discord,12
know,290
mold,65
